Rank	Country(or dependent territory)	Population	% of world	Date	Source(official or UN)
1	China[b]	1,406,996,000	17.9%	10 Mar 2021	National population clock[3]
2	India[c]	1,374,305,586	17.5%	10 Mar 2021	National population clock[4]
3	United States[d]	331,300,824	4.22%	10 Mar 2021	National population clock[5]
4	Indonesia	270,203,917	3.44%	30 Sep 2020	2020 census result[6]
5	Pakistan[e]	225,200,000	2.87%	1 Jul 2021	UN Projection[2]
6	Brazil	212,845,959	2.71%	10 Mar 2021	National population clock[7]
7	Nigeria	211,401,000	2.69%	1 Jul 2021	UN Projection[2]
8	Bangladesh	170,296,012	2.17%	10 Mar 2021	National population clock[8]
9	Russia[f]	146,238,185	1.86%	1 Jan 2021	National annual estimate[9]
10	Mexico	126,014,024	1.60%	2 Mar 2020	2020 census result[10]
11	Japan	125,620,000	1.60%	1 Feb 2021	Monthly national estimate[11]
12	Ethiopia	117,876,000	1.50%	1 Jul 2021	UN projection[2]
13	Philippines	109,935,662	1.40%	10 Mar 2021	National population clock[12]
14	DR Congo	106,731,000	1.36%	1 Jul 2021	National annual projection[13]
15	Egypt	101,600,653	1.29%	10 Mar 2021	National population clock[14]
16	Vietnam	97,580,000	1.24%	1 Jul 2020	National annual estimate[15]
17	Iran	84,264,108	1.07%	10 Mar 2021	National population clock[16]
18	Turkey	83,614,362	1.06%	31 Dec 2020	National annual estimate[17]
19	Germany	83,190,556	1.06%	30 Sep 2020	National quarterly estimate[18]
20	France[g]	67,399,000	0.858%	1 Feb 2021	Monthly national estimate[19]
21	United Kingdom[h]	66,796,807	0.851%	30 Jun 2019	National annual estimate[20]
22	Thailand	66,621,130	0.848%	10 Mar 2021	National population clock[21]
23	South Africa	59,622,350	0.759%	1 Jul 2020	National annual estimate[22]
24	Tanzania[i]	59,441,988	0.757%	1 Jul 2021	National annual projection[23]
25	Italy	59,304,696	0.755%	30 Nov 2020	Monthly national estimate[24]
26	Myanmar	55,294,979	0.704%	1 Jul 2021	National annual projection[25]
27	South Korea	51,824,142	0.660%	1 Feb 2021	Monthly national estimate[26]
28	Colombia	51,049,498	0.650%	30 Jun 2021	National annual projection[27]
29	Kenya	47,564,296	0.606%	31 Aug 2019	2019 census result[28]
30	Spain	47,351,567	0.603%	1 Jul 2020	National semi-annual estimate[29]
31	Argentina	45,808,747	0.583%	1 Jul 2021	National annual projection[30]
32	Algeria	44,700,000	0.569%	1 Jan 2021	National annual estimate[31]
33	Sudan	43,294,310	0.551%	10 Mar 2021	National population clock[32]
34	Uganda	42,885,900	0.546%	1 Jul 2021	National annual projection[33]
35	Ukraine[j]	41,588,354	0.530%	1 Jan 2021	Monthly national estimate[34]
36	Iraq	41,190,700	0.525%	1 Jul 2021	National annual projection[35]
37	Canada	38,379,131	0.489%	10 Mar 2021	National population clock[36]
38	Poland	38,268,000	0.487%	31 Dec 2020	Monthly national estimate[37]
39	Morocco[k]	36,186,493	0.461%	10 Mar 2021	National population clock[38]
40	Uzbekistan	34,739,551	0.442%	10 Mar 2021	National population clock[39]
41	Saudi Arabia	34,218,169	0.436%	1 Jul 2019	National annual estimate[40]
42	Peru	33,035,304	0.421%	1 Jul 2021	National annual projection[41]
43	Afghanistan	32,890,171	0.419%	1 Jul 2020	National annual estimate[42]
44	Malaysia	32,750,540	0.417%	10 Mar 2021	National population clock[43]
45	Angola	32,097,671	0.409%	30 Jun 2021	National annual projection[44]
46	Ghana	30,955,202	0.394%	1 Jul 2020	National annual projection[45]
47	Mozambique	30,832,244	0.393%	1 Jul 2021	National annual projection[46]
48	Yemen	30,491,000	0.388%	1 Jul 2021	UN Projection[2]
49	Nepal	30,378,055	0.387%	1 Jul 2021	National annual projection[47]
50	Venezuela	28,705,000	0.366%	1 Jul 2021	UN Projection[2]
51	Ivory Coast	27,087,732	0.345%	1 Jul 2021	National annual projection[48]
52	Madagascar	26,923,353	0.343%	1 Jul 2021	National annual projection[49]
53	Australia	25,761,055	0.328%	10 Mar 2021	National population clock[50]
54	North Korea	25,660,000	0.327%	1 Jul 2021	National annual projection[51]
55	Cameroon	24,348,251	0.310%	1 Jul 2019	National annual projection[52]
56	Niger	24,112,753	0.307%	1 Jul 2021	National annual projection[53]
–	Taiwan[l]	23,548,633	0.300%	31 Jan 2021	Monthly national estimate[54]
57	Sri Lanka	21,919,000	0.279%	1 Jul 2020	National annual estimate[55]
58	Burkina Faso	21,510,181	0.274%	1 Jul 2020	National annual projection[56]
59	Mali	20,856,000	0.266%	1 Jul 2021	UN Projection[57]
60	Chile	19,678,363	0.251%	30 Jun 2021	National annual projection[58]
61	Romania	19,317,984	0.246%	1 Jan 2020	National annual estimate[59]
62	Malawi	18,898,441	0.241%	1 Jul 2021	National annual projection[60]
63	Kazakhstan	18,885,144	0.240%	10 Mar 2021	National population clock[61]
64	Zambia	18,400,556	0.234%	1 Jul 2021	National annual projection[62]
65	Syria	18,276,000	0.233%	1 Jul 2021	UN Projection[2]
66	Ecuador	17,687,916	0.225%	10 Mar 2021	National population clock[63]
67	Netherlands[m]	17,570,731	0.224%	10 Mar 2021	National population clock[64]
68	Senegal	17,223,497	0.219%	1 Jul 2021	National annual projection[65]
69	Guatemala	17,109,746	0.218%	1 Jul 2021	National annual projection[66]
70	Chad	16,818,391	0.214%	1 Jul 2021	National annual projection[67]
71	Somalia[n]	16,360,000	0.208%	1 Jul 2021	UN Projection[2]
72	Zimbabwe	15,790,716	0.201%	1 Jul 2021	National annual projection[68]
73	Cambodia	15,552,211	0.198%	3 Mar 2019	2019 census result[69]
74	South Sudan	13,249,924	0.169%	1 Jul 2020	National annual projection[70]
75	Rwanda	12,955,768	0.165%	1 Jul 2021	National annual projection[71]
76	Guinea	12,907,395	0.164%	1 Jul 2021	National annual projection[72]
77	Burundi	12,574,571	0.160%	1 Jul 2021	National annual projection[73]
78	Benin	12,506,347	0.159%	1 Jul 2021	National annual projection[74]
